nome,latitude,longitude,endereco,obs
Supermercado Bretas Bueno,-16.7000,-49.2700,Setor Bueno,Coleta manhã
Atacadão BR-153,-16.6420,-49.2200,BR-153,Volume alto
Distribuidora Centro,-16.6790,-49.2580,Centro,Acesso restrito
Loja Campinas,-16.6750,-49.2900,Setor Campinas,Horário comercial
Depósito Jardim América,-16.7100,-49.2450,Jardim América,Carga pesada
Mercado Universitário,-16.7280,-49.2850,Setor Universitário,2 volumes
Atacarejo Goiânia 2,-16.6600,-49.2350,Vila Nova,Expedição tarde
Farmácia Marista,-16.7150,-49.2750,Setor Marista,Refrigerado
Shopping Flamboyant,-16.7200,-49.2400,Jardim Goiás,Doca fundos
Comércio Pedro Ludovico,-16.6950,-49.2550,Setor Pedro Ludovico,Até 12h
Padaria Oeste,-16.6800,-49.3050,Setor Oeste,Perecível
Mercado Aeroporto,-16.6300,-49.2200,Setor Aeroporto,Liberação portaria
Supermercado Negrão de Lima,-16.6650,-49.2800,Setor Negrão de Lima,Normal
Loja Vila Redenção,-16.7050,-49.2300,Vila Redenção,Acesso difícil
Depósito Serrinha,-16.6500,-49.2600,Serrinha,Volume grande
